id,created_at,closed_at,session_label,rotation_id,scenario_order,notes,lmsr_b_parameter,show_tournament_payout_screen,treated_count
1,2026-05-29 13:20:16.063851+00,2026-05-29 14:20:23.993013+00,S2026-05-29-A,1,"C,A,B,D",,36.0,true,3
2,2026-05-29 13:20:17.796937+00,2026-05-29 14:20:25.818414+00,S2026-05-29-A,1,"C,A,B,D",,36.0,true,3
