round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4771338813317177,34.53124096193865
2,2,1,1,C,1,0.5276490667020026,9.586735874737922
3,2,1,1,C,2,0.4571198432416542,0.0
4,2,1,1,C,3,0.5340727706074054,0.0
5,2,1,1,C,4,0.5340727706074054,0.0
6,2,1,1,C,5,0.5326216800578645,0.0
7,3,2,2,A,1,0.1782888551382621,1163.1172132939025
8,3,2,2,A,2,0.2226743904474513,322.4243432984633
9,3,2,2,A,3,0.3028437725445622,273.0863283633596
10,3,2,2,A,4,0.04265031158880317,-36.01203215710325
11,3,2,2,A,5,0.3454675497786909,168.6905379547461
12,4,3,3,B,1,0.0,27.999999999999996
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.03947068847533201,1565.5327807581725
18,5,4,4,D,2,0.03934512329097787,166.96009482233944
19,5,4,4,D,3,0.5113691409349207,1489.6319800109168
20,5,4,4,D,4,0.088369476237628,785.2537764989802
21,5,4,4,D,5,0.05756802653169666,10.839593998840883
