id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-06-01 14:11:20.506475,2026-06-01 14:11:24.182510,0.5,0.4791787146272571,0.002044833295539375
2,2,1,2026-06-01 14:11:24.186067,2026-06-01 14:11:27.751078,0.5,0.4861146822539951,0.9929825533485988
3,2,2,2026-06-01 14:11:27.752090,2026-06-01 14:11:31.318708,0.4861146822539951,0.4861146822539951,0.9224533298882504
4,2,3,2026-06-01 14:11:31.319696,2026-06-01 14:11:34.938870,0.4861146822539951,0.4861146822539951,0.9994062572540016
5,2,4,2026-06-01 14:11:34.940375,2026-06-01 14:11:38.529979,0.4861146822539951,0.4861146822539951,0.9994062572540016
6,2,5,2026-06-01 14:11:38.531237,2026-06-01 14:11:42.050575,0.4861146822539951,0.4861146822539951,0.9979551667044606
7,3,1,2026-06-01 14:11:42.055550,2026-06-01 14:11:46.592054,0.5,0.8175744761936437,0.9999697990305696
8,3,2,2026-06-01 14:11:46.592655,2026-06-01 14:11:51.287563,0.8175744761936437,0.7086608250294356,0.9697986577181208
9,3,3,2026-06-01 14:11:51.288453,2026-06-01 14:11:56.097921,0.7086608250294356,0.5825702064623147,0.9697986577181208
10,3,4,2026-06-01 14:11:56.098855,2026-06-01 14:12:00.451958,0.5825702064623147,0.927945856381436,0.9999990594578603
11,3,5,2026-06-01 14:12:00.452908,2026-06-01 14:12:04.905444,0.927945856381436,0.6481942198637447,0.9999697990305696
12,4,1,2026-06-01 14:12:04.908913,2026-06-01 14:12:08.557024,0.5,0.5,0.5
13,4,2,2026-06-01 14:12:08.558198,2026-06-01 14:12:12.018536,0.5,0.5,0.5
14,4,3,2026-06-01 14:12:12.019829,2026-06-01 14:12:15.516267,0.5,0.5,0.5
15,4,4,2026-06-01 14:12:15.517484,2026-06-01 14:12:19.058181,0.5,0.5,0.5
16,4,5,2026-06-01 14:12:19.059160,2026-06-01 14:12:22.627307,0.5,0.5,0.5
17,5,1,2026-06-01 14:12:22.631578,2026-06-01 14:12:27.266805,0.5,0.03538109202197851,0.0009688763426712289
18,5,2,2026-06-01 14:12:27.267684,2026-06-01 14:12:31.073784,0.03538109202197851,0.04043956481800324,3.0200969430404782e-05
19,5,3,2026-06-01 14:12:31.074863,2026-06-01 14:12:36.910190,0.04043956481800324,0.6545022492518787,0.03020134228187921
20,5,4,2026-06-01 14:12:36.910857,2026-06-01 14:12:42.178542,0.6545022492518787,0.10537408848177848,3.0200969430404782e-05
21,5,5,2026-06-01 14:12:42.179219,2026-06-01 14:12:46.664158,0.10537408848177848,0.14117613544185983,0.0009688763426712289
