id,session_id,market_number,is_practice,scenario_id,true_probability,stage,b_parameter,q_yes,q_no,opened_at,closed_at
1,1,0,1,C,0.5,1,36,34,37,2026-06-01 14:11:20.504700,2026-06-01 14:11:24.184132
2,1,1,0,C,0.5,1,36,27,29,2026-06-01 14:11:24.184730,2026-06-01 14:11:42.052107
3,1,2,0,A,0.75,2,36,1879,1857,2026-06-01 14:11:42.053925,2026-06-01 14:12:04.906402
4,1,3,0,B,0.25,3,36,28,28,2026-06-01 14:12:04.907372,2026-06-01 14:12:22.628762
5,1,4,0,D,0.65,4,36,4070,4135,2026-06-01 14:12:22.629913,2026-06-01 14:12:46.665019
