session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P24,1116.7889,1,5,2026-06-01 14:12:46,
1,P14,1065.8688,2,3,2026-06-01 14:12:46,
1,P20,850.7642,3,2,2026-06-01 14:12:46,
1,P17,807.8356,4,0,2026-06-01 14:12:46,
1,P18,794.4735,5,0,2026-06-01 14:12:46,
1,P09,768.402,6,0,2026-06-01 14:12:46,
1,P15,728.1305,7,0,2026-06-01 14:12:46,
1,P22,692.92,8,0,2026-06-01 14:12:46,
1,P13,690.5167,9,0,2026-06-01 14:12:46,
1,P16,676.0831,10,0,2026-06-01 14:12:46,
1,P19,656.011,11,0,2026-06-01 14:12:46,
1,P02,636.0207,12,0,2026-06-01 14:12:46,
1,P03,548.3097,13,0,2026-06-01 14:12:46,
1,P11,530.775,14,0,2026-06-01 14:12:46,
1,P01,511.9356,15,0,2026-06-01 14:12:46,
1,P23,474.5592,16,0,2026-06-01 14:12:46,
1,P08,402.1443,17,0,2026-06-01 14:12:46,
1,P06,400.5137,18,0,2026-06-01 14:12:46,
1,P07,399.2344,19,0,2026-06-01 14:12:46,
1,P12,396.6894,20,0,2026-06-01 14:12:46,
1,P21,379.999,21,0,2026-06-01 14:12:46,
1,P04,331.9238,22,0,2026-06-01 14:12:46,
1,P10,280.5339,23,0,2026-06-01 14:12:46,
1,P05,200.3717,24,0,2026-06-01 14:12:46,
