round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4771338813317177,35.53124096193865
2,2,1,1,C,1,0.5068678710946036,28.013887103133772
3,2,1,1,C,2,0.43633864763425523,0.0
4,2,1,1,C,3,0.5132915750000064,0.0
5,2,1,1,C,4,0.5132915750000064,0.0
6,2,1,1,C,5,0.5118404844504655,0.0
7,3,2,2,A,1,0.18239532283692594,1139.297579507221
8,3,2,2,A,2,0.2611378326886852,317.1467390617579
9,3,2,2,A,3,0.38722845125580607,305.05338361968165
10,3,2,2,A,4,0.07205320307642427,-17.758852565493044
11,3,2,2,A,5,0.3517755791668249,125.91618847559516
12,4,3,3,B,1,0.0,27.999999999999996
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.03441221567930728,1394.3434996074086
18,5,4,4,D,2,0.040409363848572834,182.18928115076392
19,5,4,4,D,3,0.6243009069699995,1573.7736099951956
20,5,4,4,D,4,0.10534388751234808,913.7488972119454
21,5,4,4,D,5,0.1402072590991886,51.47030483823937
