round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4771338813317177,31.53124096193864
2,2,1,1,C,1,0.5276490667020026,9.586735874737922
3,2,1,1,C,2,0.4571198432416542,0.0
4,2,1,1,C,3,0.5340727706074054,0.0
5,2,1,1,C,4,0.5340727706074054,0.0
6,2,1,1,C,5,0.5326216800578645,0.0
7,3,2,2,A,1,0.19515447604440983,1139.8638293514405
8,3,2,2,A,2,0.37378346439160404,332.8124804713939
9,3,2,2,A,3,0.41447060245575185,165.54545665173896
10,3,2,2,A,4,0.08190963661318551,57.901512398852674
11,3,2,2,A,5,0.390652257187009,88.75838897782705
12,4,3,3,B,1,0.013885317746004877,18.01388710313378
13,4,3,3,B,2,0.013885317746004877,0.0
14,4,3,3,B,3,0.013885317746004877,0.0
15,4,3,3,B,4,0.013885317746004877,0.0
16,4,3,3,B,5,0.013885317746004877,0.0
17,5,4,4,D,1,0.03441221567930728,1485.3434996074086
18,5,4,4,D,2,0.03174842998979983,275.8658050021286
19,5,4,4,D,3,0.6179928775818655,1440.4457334892259
20,5,4,4,D,4,0.1221201975265116,831.0817432827248
21,5,4,4,D,5,0.08094170081265395,22.386497491937916
