trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
1,1,1,no,3,-0.020821285372742915,0.020821285372742915
2,1,1,no,13,-0.08849625647081777,0.08849625647081777
3,1,1,yes,2,0.013302348517043872,0.013302348517043872
4,1,1,yes,1,0.006705817235090283,0.006705817235090283
5,1,1,yes,11,0.07542405834542165,0.07542405834542165
6,1,1,no,12,-0.08212987558051194,0.08212987558051194
7,1,1,yes,16,0.10990051107252169,0.10990051107252169
8,1,1,no,2,-0.013885317746004877,0.013885317746004877
9,1,1,no,1,-0.006943997948260672,0.006943997948260672
10,1,1,no,1,-0.006941319797744205,0.006941319797744205
11,1,1,no,1,-0.006935967626738038,0.006935967626738038
12,2,2,no,11,-0.07580005361580039,0.07580005361580039
13,2,2,yes,1,0.006798721047609868,0.006798721047609868
14,2,2,yes,1,0.006824831682392396,0.006824831682392396
15,2,2,yes,3,0.020606017668998278,0.020606017668998278
16,2,2,yes,1,0.006903969863395976,0.006903969863395976
17,2,2,yes,1,0.006917278298890717,0.006917278298890717
18,2,2,no,1,-0.006917278298890717,0.006917278298890717
19,3,7,yes,1,0.006943997948260727,0.006943997948260727
20,3,7,yes,1,0.00694131979774415,0.00694131979774415
21,3,7,yes,16,0.10857401345584972,0.10857401345584972
22,3,7,no,2,-0.01314178935829402,0.01314178935829402
23,3,7,no,1,-0.006632203865068909,0.006632203865068909
24,3,7,no,13,-0.08880002023248679,0.08880002023248679
25,3,7,yes,15,0.10202427379750856,0.10202427379750856
26,3,7,yes,13,0.08114969242189396,0.08114969242189396
27,3,7,no,1,-0.0058976716028927845,0.0058976716028927845
28,3,7,no,1,-0.005960635697198957,0.005960635697198957
29,3,7,no,2,-0.012104798943083583,0.012104798943083583
30,3,7,no,3,-0.01859392847035335,0.01859392847035335
31,3,7,yes,1,0.006254119513938505,0.006254119513938505
32,3,7,no,19,-0.12608985541241324,0.12608985541241324
33,3,7,yes,20,0.13228837182015463,0.13228837182015463
34,3,7,yes,3,0.018246091491757044,0.018246091491757044
35,3,7,yes,14,0.07734099499078184,0.07734099499078184
36,3,7,no,3,-0.015417704385428,0.015417704385428
37,3,7,no,1,-0.005283976781832678,0.005283976781832678
38,3,7,no,13,-0.07488540531527821,0.07488540531527821
39,3,7,no,1,-0.0061985164077413835,0.0061985164077413835
40,3,7,no,2,-0.012562148902072523,0.012562148902072523
41,3,7,no,7,-0.04550888188525304,0.04550888188525304
42,3,7,no,9,-0.06111485476169176,0.06111485476169176
43,3,7,yes,17,0.11293176603507882,0.11293176603507882
44,3,7,yes,2,0.012452635921679889,0.012452635921679889
45,3,7,no,7,-0.044495553971704016,0.044495553971704016
46,3,7,no,1,-0.006549739658341158,0.006549739658341158
47,3,7,yes,5,0.03228462832023127,0.03228462832023127
48,3,7,no,1,-0.006360174775013605,0.006360174775013605
49,3,7,yes,11,0.06682677994070452,0.06682677994070452
50,3,7,no,11,-0.06682677994070452,0.06682677994070452
51,3,7,no,3,-0.019374713886876505,0.019374713886876505
52,3,7,no,1,-0.006549739658341158,0.006549739658341158
53,3,7,no,11,-0.07433910832671353,0.07433910832671353
54,3,7,yes,11,0.07433910832671353,0.07433910832671353
55,3,7,no,1,-0.006592049699952862,0.006592049699952862
56,3,7,no,8,-0.053989486581191626,0.053989486581191626
57,3,7,yes,5,0.03398132082905758,0.03398132082905758
58,3,7,yes,2,0.013375961887065135,0.013375961887065135
59,3,7,yes,1,0.006632203865068909,0.006632203865068909
60,3,7,yes,19,0.1162446703153609,0.1162446703153609
61,3,7,yes,7,0.036979759497176024,0.036979759497176024
62,3,7,no,10,-0.05388114662666188,0.05388114662666188
63,3,7,no,5,-0.02948212585404264,0.02948212585404264
64,3,7,no,3,-0.01842233040957575,0.01842233040957575
65,3,7,no,1,-0.006254119513938505,0.006254119513938505
