session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P14,1272.6049,1,5,2026-06-01 14:17:10,
1,P24,1170.3807,2,3,2026-06-01 14:17:10,
1,P18,866.6186,3,2,2026-06-01 14:17:10,
1,P20,798.586,4,0,2026-06-01 14:17:10,
1,P13,757.4768,5,0,2026-06-01 14:17:10,
1,P17,735.3586,6,0,2026-06-01 14:17:10,
1,P02,702.2074,7,0,2026-06-01 14:17:10,
1,P09,700.2553,8,0,2026-06-01 14:17:10,
1,P16,698.9479,9,0,2026-06-01 14:17:10,
1,P15,678.5105,10,0,2026-06-01 14:17:10,
1,P03,631.7938,11,0,2026-06-01 14:17:10,
1,P22,624.5368,12,0,2026-06-01 14:17:10,
1,P19,593.6423,13,0,2026-06-01 14:17:10,
1,P23,486.5471,14,0,2026-06-01 14:17:10,
1,P11,475.1621,15,0,2026-06-01 14:17:10,
1,P06,409.5824,16,0,2026-06-01 14:17:10,
1,P12,403.6567,17,0,2026-06-01 14:17:10,
1,P07,378.4389,18,0,2026-06-01 14:17:10,
1,P01,375.2503,19,0,2026-06-01 14:17:10,
1,P08,370.3188,20,0,2026-06-01 14:17:10,
1,P21,359.3778,21,0,2026-06-01 14:17:10,
1,P10,289.4611,22,0,2026-06-01 14:17:10,
1,P04,282.2235,23,0,2026-06-01 14:17:10,
1,P05,200.2573,24,0,2026-06-01 14:17:10,
