round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.49101116875619993,31.503472110595307
2,2,1,1,C,1,0.5276490667020026,9.586735874737922
3,2,1,1,C,2,0.4571198432416542,0.0
4,2,1,1,C,3,0.5340727706074054,0.0
5,2,1,1,C,4,0.5340727706074054,0.0
6,2,1,1,C,5,0.5326216800578645,0.0
7,3,2,2,A,1,0.22266993785587852,1100.1161484282754
8,3,2,2,A,2,0.2727393737527134,266.922406445198
9,3,2,2,A,3,0.4489773723453778,322.492686088465
10,3,2,2,A,4,0.1107263774302284,99.74010955406243
11,3,2,2,A,5,0.333014913857011,123.35653443972456
12,4,3,3,B,1,0.0,28.999999999999996
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.03947068847533201,1421.5327807581725
18,5,4,4,D,2,0.03535089105254811,243.81071884923608
19,5,4,4,D,3,0.5251267129804897,1407.8782668671647
20,5,4,4,D,4,0.1106971170029378,940.0495840414274
21,5,4,4,D,5,0.03537258380411116,4.1080083038782504
