session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P24,1106.4752,1,5,2026-06-01 14:15:44,
1,P14,978.558,2,3,2026-06-01 14:15:44,
1,P20,840.4413,3,2,2026-06-01 14:15:44,
1,P17,816.1509,4,0,2026-06-01 14:15:44,
1,P13,770.7273,5,0,2026-06-01 14:15:44,
1,P18,743.6151,6,0,2026-06-01 14:15:44,
1,P19,735.7892,7,0,2026-06-01 14:15:44,
1,P09,717.392,8,0,2026-06-01 14:15:44,
1,P16,692.7328,9,0,2026-06-01 14:15:44,
1,P22,659.128,10,0,2026-06-01 14:15:44,
1,P03,645.2772,11,0,2026-06-01 14:15:44,
1,P02,641.7521,12,0,2026-06-01 14:15:44,
1,P15,635.0398,13,0,2026-06-01 14:15:44,
1,P11,542.9114,14,0,2026-06-01 14:15:44,
1,P23,493.7229,15,0,2026-06-01 14:15:44,
1,P12,488.9298,16,0,2026-06-01 14:15:44,
1,P07,433.5757,17,0,2026-06-01 14:15:44,
1,P06,403.3683,18,0,2026-06-01 14:15:44,
1,P08,383.1688,19,0,2026-06-01 14:15:44,
1,P04,373.117,20,0,2026-06-01 14:15:44,
1,P01,345.7553,21,0,2026-06-01 14:15:44,
1,P21,336.2582,22,0,2026-06-01 14:15:44,
1,P10,304.412,23,0,2026-06-01 14:15:44,
1,P05,200.1073,24,0,2026-06-01 14:15:44,
