session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P24,1207.5991,1,5,2026-06-01 14:24:42,
1,P14,948.3947,2,3,2026-06-01 14:24:42,
1,P20,813.864,3,2,2026-06-01 14:24:42,
1,P13,766.5381,4,0,2026-06-01 14:24:42,
1,P15,755.299,5,0,2026-06-01 14:24:42,
1,P17,740.2471,6,0,2026-06-01 14:24:42,
1,P18,707.9651,7,0,2026-06-01 14:24:42,
1,P03,706.2206,8,0,2026-06-01 14:24:42,
1,P16,703.1814,9,0,2026-06-01 14:24:42,
1,P19,699.8511,10,0,2026-06-01 14:24:42,
1,P02,684.2017,11,0,2026-06-01 14:24:42,
1,P22,640.5547,12,0,2026-06-01 14:24:42,
1,P09,639.2286,13,0,2026-06-01 14:24:42,
1,P11,474.8879,14,0,2026-06-01 14:24:42,
1,P01,474.469,15,0,2026-06-01 14:24:42,
1,P23,467.0515,16,0,2026-06-01 14:24:42,
1,P12,446.9443,17,0,2026-06-01 14:24:42,
1,P08,436.6175,18,0,2026-06-01 14:24:42,
1,P06,411.0351,19,0,2026-06-01 14:24:42,
1,P10,410.6357,20,0,2026-06-01 14:24:42,
1,P07,392.3819,21,0,2026-06-01 14:24:42,
1,P21,325.4068,22,0,2026-06-01 14:24:42,
1,P04,291.1537,23,0,2026-06-01 14:24:42,
1,P05,200.088,24,0,2026-06-01 14:24:42,
