round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4979551667044606,46.0
2,2,1,1,C,1,0.5138038387213417,13.531240961938646
3,2,1,1,C,2,0.44327461526099327,0.0
4,2,1,1,C,3,0.5202275426267444,0.0
5,2,1,1,C,4,0.5202275426267444,0.0
6,2,1,1,C,5,0.5187764520772036,0.0
7,3,2,2,A,1,0.2528455317599001,1195.541556592366
8,3,2,2,A,2,0.39399860410232046,244.3769579842708
9,3,2,2,A,3,0.46285465976986007,243.58495753395846
10,3,2,2,A,4,0.07984482607247445,67.53893259745496
11,3,2,2,A,5,0.2856073695395137,156.11343107142193
12,4,3,3,B,1,0.013885317746004877,18.01388710313378
13,4,3,3,B,2,0.013885317746004877,0.0
14,4,3,3,B,3,0.013885317746004877,0.0
15,4,3,3,B,4,0.013885317746004877,0.0
16,4,3,3,B,5,0.013885317746004877,0.0
17,5,4,4,D,1,0.03840644791773704,1424.4928755805117
18,5,4,4,D,2,0.04150112522512134,233.08088830311635
19,5,4,4,D,3,0.5791161995616814,1508.3079039676247
20,5,4,4,D,4,0.15883890391148475,976.393321248479
21,5,4,4,D,5,0.18563620575048959,113.20709960580734
