session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P14,1169.4086,1,5,2026-06-01 14:21:36,
1,P24,1163.1853,2,3,2026-06-01 14:21:36,
1,P18,784.2672,3,2,2026-06-01 14:21:36,
1,P20,768.8727,4,0,2026-06-01 14:21:36,
1,P17,744.3139,5,0,2026-06-01 14:21:36,
1,P13,724.1535,6,0,2026-06-01 14:21:36,
1,P09,719.3417,7,0,2026-06-01 14:21:36,
1,P16,713.3174,8,0,2026-06-01 14:21:36,
1,P02,696.6625,9,0,2026-06-01 14:21:36,
1,P22,663.7723,10,0,2026-06-01 14:21:36,
1,P15,653.0861,11,0,2026-06-01 14:21:36,
1,P19,644.4113,12,0,2026-06-01 14:21:36,
1,P03,629.3168,13,0,2026-06-01 14:21:36,
1,P08,500.8277,14,0,2026-06-01 14:21:36,
1,P01,477.5541,15,0,2026-06-01 14:21:36,
1,P11,474.1021,16,0,2026-06-01 14:21:36,
1,P23,437.0953,17,0,2026-06-01 14:21:36,
1,P12,398.4934,18,0,2026-06-01 14:21:36,
1,P06,396.6795,19,0,2026-06-01 14:21:36,
1,P07,379.8495,20,0,2026-06-01 14:21:36,
1,P04,357.4196,21,0,2026-06-01 14:21:36,
1,P21,337.238,22,0,2026-06-01 14:21:36,
1,P10,287.3481,23,0,2026-06-01 14:21:36,
1,P05,200.6614,24,0,2026-06-01 14:21:36,
