id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at,market_id
1,1,P17,no,2,1.0138871031337757,0.5,0.4861146822539951,0,2,2026-06-01 14:20:07.085019,1
2,1,P08,no,12,6.662422719700576,0.4861146822539951,0.4039848066734832,0,14,2026-06-01 14:20:07.290537,1
3,1,P03,yes,14,6.323690177165652,0.4039848066734832,0.5,14,14,2026-06-01 14:20:07.308385,1
4,1,P09,no,20,11.371386779695705,0.5,0.36457644074163925,14,34,2026-06-01 14:20:07.323658,1
5,1,P09,no,2,1.2836513190671397,0.36457644074163925,0.3518057801362553,14,36,2026-06-01 14:20:07.323659,1
6,1,P17,yes,6,2.226629752490126,0.3518057801362553,0.3906824581564393,20,36,2026-06-01 14:20:07.353811,1
7,1,P04,yes,1,0.39399530527405346,0.3906824581564393,0.3973146620215083,21,36,2026-06-01 14:20:07.360272,1
8,1,P22,yes,13,5.738223946606752,0.3973146620215083,0.4861146822539951,34,36,2026-06-01 14:20:07.397710,1
9,1,P08,no,1,0.5173538588048672,0.4861146822539951,0.4791787146272571,34,37,2026-06-01 14:20:07.958898,1
10,1,P18,no,1,0.5242860391551716,0.4791787146272571,0.47225076494548685,34,38,2026-06-01 14:20:08.932808,1
11,1,P21,yes,10,5.069328590335104,0.47225076494548685,0.5415704832167999,44,38,2026-06-01 14:20:09.197343,1
12,1,P13,no,1,0.4618802833090001,0.5415704832167999,0.534666513353404,44,39,2026-06-01 14:20:09.264832,1
13,1,P04,no,1,0.4687911263558959,0.534666513353404,0.5277492350545132,44,40,2026-06-01 14:20:09.290654,1
14,1,P11,no,6,2.9583601020399612,0.5277492350545132,0.4861146822539951,44,46,2026-06-01 14:20:09.304410,1
15,2,P08,no,11,5.9185145766368805,0.5,0.4241999463841996,0,11,2026-06-01 14:20:12.312085,2
16,2,P04,yes,1,0.42759702799884636,0.4241999463841996,0.4309986674318095,1,11,2026-06-01 14:20:12.315518,2
17,2,P02,yes,1,0.4344090108446146,0.4309986674318095,0.4378234991142019,2,11,2026-06-01 14:20:12.394416,2
18,2,P03,yes,3,1.3443349759485734,0.4378234991142019,0.45842951678320015,5,11,2026-06-01 14:20:12.737254,2
19,2,P01,yes,1,0.4618802833090001,0.45842951678320015,0.46533348664659613,6,11,2026-06-01 14:20:12.811146,2
20,2,P20,yes,1,0.46879112635590303,0.46533348664659613,0.47225076494548685,7,11,2026-06-01 14:20:12.835193,2
21,2,P17,no,1,0.5312088736441041,0.47225076494548685,0.46533348664659613,7,12,2026-06-01 14:20:13.607190,2
22,7,P14,yes,1,0.503472110595304,0.5,0.5069439979482607,1,0,2026-06-01 14:20:29.706253,3
23,7,P14,yes,1,0.5104149925384718,0.5069439979482607,0.5138853177460049,2,0,2026-06-01 14:20:29.761480,3
24,7,P17,no,1,0.4895850074615282,0.5138853177460049,0.5069439979482607,2,1,2026-06-01 14:20:29.956833,3
25,7,P21,yes,14,7.772191045931724,0.5069439979482607,0.6026853379784917,16,1,2026-06-01 14:20:30.095942,3
26,7,P10,no,20,9.311072718210895,0.6026853379784917,0.46533348664659613,16,21,2026-06-01 14:20:30.135511,3
27,7,P05,yes,18,9.496908786574934,0.46533348664659613,0.5893093760914265,34,21,2026-06-01 14:20:30.143659,3
28,7,P02,yes,19,12.360673907666111,0.5893093760914265,0.7086608250294356,53,21,2026-06-01 14:20:30.145412,3
