id,session_id,market_number,is_practice,scenario_id,true_probability,stage,b_parameter,q_yes,q_no,opened_at,closed_at
1,1,0,1,C,0.5,1,36,29,32,2026-06-01 14:25:24.271321,2026-06-01 14:25:27.960200
2,1,1,0,C,0.5,1,36,12,15,2026-06-01 14:25:27.960925,2026-06-01 14:25:46.092630
3,1,2,0,A,0.75,2,36,1918,1888,2026-06-01 14:25:46.095367,2026-06-01 14:26:09.500063
4,1,3,0,B,0.25,3,36,16,18,2026-06-01 14:26:09.501129,2026-06-01 14:26:27.340373
5,1,4,0,D,0.65,4,36,4038,4134,2026-06-01 14:26:27.341755,2026-06-01 14:26:50.546599
