id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-06-01 14:25:24.274095,2026-06-01 14:25:27.958586,0.5,0.4791787146272571,0.002044833295539375
2,2,1,2026-06-01 14:25:27.962448,2026-06-01 14:25:31.594331,0.5,0.4791787146272571,0.9929825533485988
3,2,2,2026-06-01 14:25:31.595624,2026-06-01 14:25:35.300763,0.4791787146272571,0.4791787146272571,0.9224533298882504
4,2,3,2026-06-01 14:25:35.302157,2026-06-01 14:25:38.904529,0.4791787146272571,0.4791787146272571,0.9994062572540016
5,2,4,2026-06-01 14:25:38.905725,2026-06-01 14:25:42.534647,0.4791787146272571,0.4791787146272571,0.9994062572540016
6,2,5,2026-06-01 14:25:42.535867,2026-06-01 14:25:46.090391,0.4791787146272571,0.4791787146272571,0.9979551667044606
7,3,1,2026-06-01 14:25:46.097290,2026-06-01 14:25:50.882997,0.5,0.7574755792628283,0.9999697990305696
8,3,2,2026-06-01 14:25:50.883933,2026-06-01 14:25:55.702647,0.7574755792628283,0.6852009766653157,0.9697986577181208
9,3,3,2026-06-01 14:25:55.703558,2026-06-01 14:26:00.562705,0.6852009766653157,0.5960151933265168,0.9697986577181208
10,3,4,2026-06-01 14:26:00.563515,2026-06-01 14:26:04.922818,0.5960151933265168,0.9429752985789069,0.9999990594578603
11,3,5,2026-06-01 14:26:04.923641,2026-06-01 14:26:09.499238,0.9429752985789069,0.6970592839654074,0.9999697990305696
12,4,1,2026-06-01 14:26:09.502756,2026-06-01 14:26:13.158269,0.5,0.4861146822539951,0.5
13,4,2,2026-06-01 14:26:13.159475,2026-06-01 14:26:16.649922,0.4861146822539951,0.4861146822539951,0.5
14,4,3,2026-06-01 14:26:16.651216,2026-06-01 14:26:20.193876,0.4861146822539951,0.4861146822539951,0.5
15,4,4,2026-06-01 14:26:20.194890,2026-06-01 14:26:23.709814,0.4861146822539951,0.4861146822539951,0.5
16,4,5,2026-06-01 14:26:23.710725,2026-06-01 14:26:27.338917,0.4861146822539951,0.4861146822539951,0.5
17,5,1,2026-06-01 14:26:27.343539,2026-06-01 14:26:31.884608,0.5,0.037326887344129464,0.0009688763426712289
18,5,2,2026-06-01 14:26:31.885509,2026-06-01 14:26:35.670233,0.037326887344129464,0.04043956481800324,3.0200969430404782e-05
19,5,3,2026-06-01 14:26:35.670872,2026-06-01 14:26:41.323399,0.04043956481800324,0.679178699175393,0.03020134228187921
20,5,4,2026-06-01 14:26:41.323976,2026-06-01 14:26:46.362180,0.679178699175393,0.1107273179723682,3.0200969430404782e-05
21,5,5,2026-06-01 14:26:46.362760,2026-06-01 14:26:50.545883,0.1107273179723682,0.06496916912866407,0.0009688763426712289
