session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P14,1141.4236,1,5,2026-06-01 14:11:20,
1,P24,1138.0902,2,3,2026-06-01 14:11:20,
1,P20,837.0002,3,2,2026-06-01 14:11:20,
1,P18,815.466,4,0,2026-06-01 14:11:20,
1,P17,802.2215,5,0,2026-06-01 14:11:20,
1,P13,730.4615,6,0,2026-06-01 14:11:20,
1,P16,703.6674,7,0,2026-06-01 14:11:20,
1,P19,683.8082,8,0,2026-06-01 14:11:20,
1,P09,680.7622,9,0,2026-06-01 14:11:20,
1,P02,664.2021,10,0,2026-06-01 14:11:20,
1,P15,647.026,11,0,2026-06-01 14:11:20,
1,P03,627.9587,12,0,2026-06-01 14:11:20,
1,P22,596.6413,13,0,2026-06-01 14:11:20,
1,P23,493.1599,14,0,2026-06-01 14:11:20,
1,P12,484.2132,15,0,2026-06-01 14:11:20,
1,P11,464.6195,16,0,2026-06-01 14:11:20,
1,P01,442.8146,17,0,2026-06-01 14:11:20,
1,P06,422.6351,18,0,2026-06-01 14:11:20,
1,P04,380.7742,19,0,2026-06-01 14:11:20,
1,P07,364.1071,20,0,2026-06-01 14:11:20,
1,P21,362.7649,21,0,2026-06-01 14:11:20,
1,P08,353.0041,22,0,2026-06-01 14:11:20,
1,P10,270.6262,23,0,2026-06-01 14:11:20,
1,P05,200.5086,24,0,2026-06-01 14:11:20,
