id,session_id,market_number,is_practice,scenario_id,true_probability,stage,b_parameter,q_yes,q_no,opened_at,closed_at
1,1,0,1,C,0.5,1,36,29,32,2026-06-01 14:09:56.693122,2026-06-01 14:10:00.286038
2,1,1,0,C,0.5,1,36,12,15,2026-06-01 14:10:00.286879,2026-06-01 14:10:17.753135
3,1,2,0,A,0.75,2,36,1918,1888,2026-06-01 14:10:17.754900,2026-06-01 14:10:40.215251
4,1,3,0,B,0.25,3,36,16,18,2026-06-01 14:10:40.216149,2026-06-01 14:10:57.567191
5,1,4,0,D,0.65,4,36,4038,4134,2026-06-01 14:10:57.568330,2026-06-01 14:11:20.385255
