id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at,market_id
1,1,P17,no,3,1.5312409619386464,0.5,0.4791787146272571,0,3,2026-06-01 14:12:47.286279,1
2,1,P08,no,13,7.350426889314328,0.4791787146272571,0.3906824581564393,0,16,2026-06-01 14:12:47.491797,1
3,1,P03,yes,2,0.7946419715813775,0.3906824581564393,0.4039848066734832,2,16,2026-06-01 14:12:47.509645,1
4,1,P04,yes,1,0.40733483847850493,0.4039848066734832,0.41069062390857347,3,16,2026-06-01 14:12:47.561529,1
5,1,P22,yes,12,5.419827449282451,0.41069062390857347,0.49305600205173933,15,16,2026-06-01 14:12:47.598967,1
6,1,P09,no,11,5.994230078065371,0.49305600205173933,0.41742979353768533,15,27,2026-06-01 14:12:47.700983,1
7,1,P06,yes,15,7.033538773277975,0.41742979353768533,0.520821285372743,30,27,2026-06-01 14:12:47.703374,1
8,1,P09,no,2,0.9722311486566539,0.520821285372743,0.5069439979482607,30,29,2026-06-01 14:12:47.774651,1
9,1,P17,no,1,0.49652788940469605,0.5069439979482607,0.5,30,30,2026-06-01 14:12:47.780135,1
10,1,P08,no,1,0.5034721105952968,0.5,0.49305600205173933,30,31,2026-06-01 14:12:48.160159,1
11,1,P18,no,1,0.5104149925384789,0.49305600205173933,0.4861146822539951,30,32,2026-06-01 14:12:49.134069,1
12,2,P18,no,2,1.0138871031337757,0.5,0.4861146822539951,0,2,2026-06-01 14:12:50.941591,2
13,2,P08,no,11,6.069757558179081,0.4861146822539951,0.41069062390857347,0,13,2026-06-01 14:12:52.366941,2
14,2,P22,yes,13,5.91635533868714,0.41069062390857347,0.5,13,13,2026-06-01 14:12:52.648890,2
15,2,P09,no,1,0.503472110595311,0.5,0.49305600205173933,13,14,2026-06-01 14:12:52.707796,2
16,2,P08,no,6,3.166399421937008,0.49305600205173933,0.4515414720267231,13,20,2026-06-01 14:12:52.821064,2
17,2,P01,yes,1,0.4549840588965992,0.4515414720267231,0.45842951678320015,14,20,2026-06-01 14:12:52.866002,2
