session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P24,1158.5193,1,5,2026-06-01 14:14:15,
1,P14,989.3814,2,3,2026-06-01 14:14:15,
1,P20,855.5911,3,2,2026-06-01 14:14:15,
1,P18,772.2723,4,0,2026-06-01 14:14:15,
1,P17,754.7251,5,0,2026-06-01 14:14:15,
1,P03,729.267,6,0,2026-06-01 14:14:15,
1,P13,726.0694,7,0,2026-06-01 14:14:15,
1,P16,703.6537,8,0,2026-06-01 14:14:15,
1,P02,685.7346,9,0,2026-06-01 14:14:15,
1,P09,684.3626,10,0,2026-06-01 14:14:15,
1,P15,663.093,11,0,2026-06-01 14:14:15,
1,P22,638.8638,12,0,2026-06-01 14:14:15,
1,P19,620.0985,13,0,2026-06-01 14:14:15,
1,P11,499.4833,14,0,2026-06-01 14:14:15,
1,P01,487.6096,15,0,2026-06-01 14:14:15,
1,P23,485.4166,16,0,2026-06-01 14:14:15,
1,P12,460.9825,17,0,2026-06-01 14:14:15,
1,P08,422.3302,18,0,2026-06-01 14:14:15,
1,P07,406.2901,19,0,2026-06-01 14:14:15,
1,P06,396.8716,20,0,2026-06-01 14:14:15,
1,P21,351.9263,21,0,2026-06-01 14:14:15,
1,P04,345.7885,22,0,2026-06-01 14:14:15,
1,P10,291.0236,23,0,2026-06-01 14:14:15,
1,P05,200.4865,24,0,2026-06-01 14:14:15,
