run_index,seed,session_id,trades_per_agent_round,quantity_per_agent_round,median_order_size,q25_order_size,q75_order_size,sell_share,negative_cost_share,non_empty_markets_per_session_min,non_practice_trade_count,price_mse_vs_truth,price_mse_vs_benchmark,convergence_lag_mean,price_path_variance,trading_volume_total,informed_return_ratio_mean,uninformed_return_ratio_mean,treatment_effect_return_ratio,info_revelation_corr_mean
1.0,4200.0,1.0,13.86875,59.93125,2.0,1.0,7.0,0.2678383656301637,0.2678383656301637,4.0,6657.0,0.08239142558795712,0.11021457593332833,1.0,0.05652022288140403,28828.0,-0.20080603125,0.09227880625000001,-0.29308483750000003,0.8086112313799612
2.0,4201.0,1.0,14.38125,60.27291666666667,2.0,1.0,6.0,0.27538751267564826,0.27538751267564826,4.0,6903.0,0.08071877899516049,0.10797852977536745,1.0,0.05421942700467115,29002.0,-0.18455409375,0.08672038437499999,-0.271274478125,0.7811850317662143
3.0,4202.0,1.0,14.260416666666666,60.672916666666666,2.0,1.0,7.0,0.2753834915997078,0.2753834915997078,4.0,6845.0,0.08530079446973694,0.11143285594948632,1.0,0.04632748671836126,29185.0,-0.330035078125,0.12205589687499999,-0.45209097499999995,0.8055926261437388
4.0,4203.0,1.0,13.525,58.46666666666667,2.0,1.0,7.0,0.27402957486136786,0.27402957486136786,4.0,6492.0,0.08698077349505046,0.11063793941117134,1.0,0.05319040005067501,28127.0,-0.27218278125000006,0.09884868437500001,-0.37103146562500006,0.7729403024233998
5.0,4204.0,1.0,13.754166666666666,59.21041666666667,2.0,1.0,7.0,0.2767343229324447,0.2767343229324447,4.0,6602.0,0.08703369579335331,0.10663958932738864,2.0,0.06985894543752492,28483.0,-0.029143156249999996,0.045211071875,-0.074354228125,0.8696664848975775
6.0,4205.0,1.0,13.672916666666667,58.925,2.0,1.0,7.0,0.27274112448575344,0.27274112448575344,4.0,6563.0,0.08757836161561272,0.10647786026828807,2.0,0.0592654268963559,28386.0,-0.186293609375,0.100444896875,-0.28673850624999997,0.783465625484361
7.0,4206.0,1.0,13.9375,58.93333333333333,2.0,1.0,6.0,0.27802690582959644,0.27802690582959644,4.0,6690.0,0.0837695242961242,0.11831533365292521,1.0,0.051935617089175344,28351.0,-0.24864506250000004,0.10543895625,-0.35408401875000006,0.8054034756696806
8.0,4207.0,1.0,14.20625,61.73125,2.0,1.0,7.0,0.2777533362663147,0.2777533362663147,4.0,6819.0,0.08320809578979048,0.11210938398501881,2.0,0.05927974335353786,29721.0,-0.1611955,0.076370034375,-0.237565534375,0.8435177665044065
9.0,4208.0,1.0,13.733333333333333,58.975,2.0,1.0,7.0,0.2817050970873786,0.2817050970873786,4.0,6592.0,0.08592883336438684,0.10186484637991995,2.0,0.060269335700300256,28377.0,-0.11021659374999997,0.066474934375,-0.17669152812499997,0.716284219676652
10.0,4209.0,1.0,14.747916666666667,61.385416666666664,1.0,1.0,6.0,0.27051843480717613,0.27051843480717613,4.0,7079.0,0.07625081173686457,0.11616300291862577,1.0,0.04598927337550693,29557.0,-0.30993946875,0.10414981875,-0.4140892875,0.8754331068567756
