trade_id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at
1277,25,P05,yes,1,0.5035,0.5,0.506944,1.0,0.0,2026-05-29T13:59:10.303922+00:00
1282,25,P04,no,1,0.4896,0.513885,0.506944,3.0,2.0,2026-05-29T13:59:10.680838+00:00
1289,25,P05,yes,1,0.5381,0.534667,0.54157,9.0,3.0,2026-05-29T13:59:11.577524+00:00
1293,25,P05,yes,1,0.5656,0.562177,0.569001,13.0,3.0,2026-05-29T13:59:12.160587+00:00
1294,25,P08,yes,1,0.5724,0.569001,0.5758,14.0,3.0,2026-05-29T13:59:12.248963+00:00
1296,25,P09,no,20,9.7241,0.58257,0.444672,15.0,23.0,2026-05-29T13:59:12.327922+00:00
1298,25,P05,yes,1,0.455,0.451541,0.45843,17.0,23.0,2026-05-29T13:59:12.441295+00:00
1300,25,P08,yes,1,0.4688,0.465333,0.472251,19.0,23.0,2026-05-29T13:59:12.618939+00:00
1302,25,P08,yes,1,0.4826,0.479179,0.486115,21.0,23.0,2026-05-29T13:59:12.769375+00:00
1308,25,P05,yes,1,0.5104,0.506944,0.513885,25.0,23.0,2026-05-29T13:59:13.159726+00:00
1319,25,P05,yes,1,0.5519,0.548459,0.555328,33.0,25.0,2026-05-29T13:59:14.428125+00:00
1328,25,P01,no,10,5.1386,0.520821,0.451541,38.0,45.0,2026-05-29T13:59:15.618619+00:00
1338,25,P02,yes,20,3.5906,0.141176,0.2227,60.0,105.0,2026-05-29T13:59:16.589073+00:00
1363,25,P06,yes,1,0.034,0.033533,0.034445,85.0,205.0,2026-05-29T13:59:18.890499+00:00
1370,25,P08,yes,1,0.0289,0.028532,0.029312,89.0,215.0,2026-05-29T13:59:19.534924+00:00
1375,25,P08,yes,1,0.0534,0.052706,0.05411,112.0,215.0,2026-05-29T13:59:19.981056+00:00
1389,25,P02,yes,20,4.1968,0.166434,0.25816,177.0,215.0,2026-05-29T13:59:21.221456+00:00
1400,25,P08,yes,1,0.2828,0.280003,0.285638,182.0,215.0,2026-05-29T13:59:22.366869+00:00
1406,25,P08,yes,1,0.2942,0.291339,0.297107,184.0,215.0,2026-05-29T13:59:23.500912+00:00
1413,25,P08,yes,1,0.3,0.297107,0.302941,185.0,215.0,2026-05-29T13:59:24.388282+00:00
1424,25,P06,yes,1,0.3239,0.320821,0.326904,189.0,215.0,2026-05-29T13:59:25.753160+00:00
1465,25,P01,yes,1,0.2942,0.291339,0.297107,204.0,235.0,2026-05-29T13:59:34.425970+00:00
1467,25,P01,yes,1,0.3059,0.302941,0.308838,206.0,235.0,2026-05-29T13:59:34.769140+00:00
1472,25,P01,yes,1,0.3361,0.333045,0.339244,211.0,235.0,2026-05-29T13:59:35.618941+00:00
1475,25,P01,yes,1,0.355,0.351806,0.358166,214.0,235.0,2026-05-29T13:59:36.084909+00:00
1482,25,P01,yes,1,0.2662,0.263515,0.268941,219.0,255.0,2026-05-29T13:59:36.958070+00:00
1485,25,P01,yes,1,0.2828,0.280003,0.285638,222.0,255.0,2026-05-29T13:59:37.410850+00:00
1489,25,P01,yes,1,0.3,0.297107,0.302941,225.0,255.0,2026-05-29T13:59:37.893264+00:00
1496,25,P01,yes,1,0.3424,0.339244,0.345498,232.0,255.0,2026-05-29T13:59:39.043463+00:00
1504,25,P01,yes,1,0.3874,0.38409,0.390682,239.0,255.0,2026-05-29T13:59:40.225091+00:00
1513,25,P07,no,20,12.5639,0.437823,0.308838,246.0,275.0,2026-05-29T13:59:41.513690+00:00
1518,25,P02,yes,20,-3.5098,0.217929,0.137842,229.0,295.0,2026-05-29T13:59:42.120436+00:00
1521,25,P01,yes,1,0.1463,0.144578,0.148047,232.0,295.0,2026-05-29T13:59:42.482852+00:00
1527,25,P03,yes,8,1.6705,0.190858,0.227546,251.0,295.0,2026-05-29T13:59:43.390513+00:00
1537,25,P04,yes,1,0.235,0.232465,0.237458,233.0,275.0,2026-05-29T13:59:50.138605+00:00
1541,25,P08,yes,1,0.2451,0.242524,0.247664,235.0,275.0,2026-05-29T13:59:53.385959+00:00
1544,25,P02,yes,20,-4.9773,0.302941,0.199585,225.0,275.0,2026-05-29T13:59:57.032423+00:00
1565,25,P09,no,20,16.4094,0.2227,0.141176,231.0,296.0,2026-05-29T14:00:07.324324+00:00
1580,25,P08,no,1,0.5381,0.465333,0.45843,291.0,297.0,2026-05-29T14:00:10.273070+00:00
1631,25,P07,yes,20,7.8269,0.326904,0.45843,332.0,338.0,2026-05-29T14:00:19.288887+00:00
1658,25,P05,yes,1,-0.0788,0.079846,0.077829,281.0,370.0,2026-05-29T14:00:27.930162+00:00
1662,25,P02,yes,20,4.9773,0.199585,0.302941,320.0,350.0,2026-05-29T14:00:28.460446+00:00
1670,25,P05,yes,1,-0.6941,0.697059,0.691162,379.0,350.0,2026-05-29T14:00:30.124949+00:00
1676,25,P05,yes,1,-0.6639,0.666955,0.660756,374.0,350.0,2026-05-29T14:00:30.922968+00:00
1678,25,P05,yes,1,-0.6576,0.660756,0.654502,373.0,350.0,2026-05-29T14:00:31.075467+00:00
1682,25,P05,yes,1,-0.6386,0.641834,0.635424,370.0,350.0,2026-05-29T14:00:31.492172+00:00
1686,25,P08,yes,1,-0.6192,0.622459,0.61591,367.0,350.0,2026-05-29T14:00:31.730587+00:00
1697,25,P07,no,20,10.2759,0.555328,0.41743,358.0,370.0,2026-05-29T14:00:32.413024+00:00
1703,25,P08,yes,1,-0.2662,0.268941,0.263515,353.0,390.0,2026-05-29T14:00:32.847429+00:00
1279,25,P05,yes,1,0.5104,0.506944,0.513885,2.0,0.0,2026-05-29T13:59:10.461994+00:00
1284,25,P04,no,1,0.4896,0.513885,0.506944,4.0,3.0,2026-05-29T13:59:10.821097+00:00
1286,25,P05,yes,1,0.5174,0.513885,0.520821,6.0,3.0,2026-05-29T13:59:11.091631+00:00
1291,25,P05,yes,1,0.5519,0.548459,0.555328,11.0,3.0,2026-05-29T13:59:11.860722+00:00
1295,25,P05,yes,1,0.5792,0.5758,0.58257,15.0,3.0,2026-05-29T13:59:12.295771+00:00
1309,25,P08,yes,1,0.5174,0.513885,0.520821,26.0,23.0,2026-05-29T13:59:13.317641+00:00
1311,25,P05,yes,1,0.5312,0.527749,0.534667,28.0,23.0,2026-05-29T13:59:13.508958+00:00
1313,25,P05,yes,1,0.5381,0.534667,0.54157,29.0,23.0,2026-05-29T13:59:13.694177+00:00
1315,25,P05,yes,1,0.5519,0.548459,0.555328,31.0,23.0,2026-05-29T13:59:14.058312+00:00
1323,25,P05,yes,1,0.5724,0.569001,0.5758,36.0,25.0,2026-05-29T13:59:14.974484+00:00
1329,25,P01,no,10,5.8244,0.451541,0.38409,38.0,55.0,2026-05-29T13:59:15.762517+00:00
1340,25,P01,no,10,8.4084,0.178319,0.141176,60.0,125.0,2026-05-29T13:59:16.812210+00:00
1342,25,P01,no,10,9.02,0.110727,0.086187,60.0,145.0,2026-05-29T13:59:17.127114+00:00
1347,25,P01,no,10,9.4131,0.066677,0.051336,60.0,165.0,2026-05-29T13:59:17.518455+00:00
1362,25,P01,no,10,9.6155,0.0438,0.033533,84.0,205.0,2026-05-29T13:59:18.846692+00:00
1369,25,P06,yes,1,0.0282,0.027772,0.028532,88.0,215.0,2026-05-29T13:59:19.287758+00:00
1371,25,P06,yes,1,0.0297,0.029312,0.030113,90.0,215.0,2026-05-29T13:59:19.726197+00:00
1372,25,P08,yes,1,0.0305,0.030113,0.030935,91.0,215.0,2026-05-29T13:59:19.766761+00:00
1376,25,P06,yes,1,0.0548,0.05411,0.055549,113.0,215.0,2026-05-29T13:59:20.017604+00:00
1378,25,P08,yes,1,0.0563,0.055549,0.057025,114.0,215.0,2026-05-29T13:59:20.200078+00:00
1379,25,P06,yes,1,0.0578,0.057025,0.058537,115.0,215.0,2026-05-29T13:59:20.354154+00:00
1396,25,P06,yes,1,0.2717,0.268941,0.274438,180.0,215.0,2026-05-29T13:59:22.000379+00:00
1398,25,P08,yes,1,0.2772,0.274438,0.280003,181.0,215.0,2026-05-29T13:59:22.154172+00:00
1419,25,P08,yes,1,0.3118,0.308838,0.314799,187.0,215.0,2026-05-29T13:59:25.113831+00:00
1447,25,P04,yes,1,0.2717,0.268941,0.274438,200.0,235.0,2026-05-29T13:59:31.728529+00:00
1466,25,P01,yes,1,0.3,0.297107,0.302941,205.0,235.0,2026-05-29T13:59:34.610198+00:00
1469,25,P01,yes,1,0.3178,0.314799,0.320821,208.0,235.0,2026-05-29T13:59:35.096839+00:00
1473,25,P01,yes,1,0.3424,0.339244,0.345498,212.0,235.0,2026-05-29T13:59:35.777641+00:00
1480,25,P01,yes,1,0.2555,0.252876,0.25816,217.0,255.0,2026-05-29T13:59:36.620531+00:00
1484,25,P01,yes,1,0.2772,0.274438,0.280003,221.0,255.0,2026-05-29T13:59:37.260190+00:00
1488,25,P01,yes,1,0.2942,0.291339,0.297107,224.0,255.0,2026-05-29T13:59:37.736867+00:00
1492,25,P01,yes,1,0.3178,0.314799,0.320821,228.0,255.0,2026-05-29T13:59:38.408735+00:00
1494,25,P01,yes,1,0.33,0.326904,0.333045,230.0,255.0,2026-05-29T13:59:38.726687+00:00
1499,25,P01,yes,1,0.3614,0.358166,0.364576,235.0,255.0,2026-05-29T13:59:39.544443+00:00
1502,25,P01,yes,1,0.3743,0.371035,0.377541,237.0,255.0,2026-05-29T13:59:39.877562+00:00
1506,25,P01,yes,1,0.4006,0.397315,0.403985,241.0,255.0,2026-05-29T13:59:40.585667+00:00
1508,25,P01,yes,1,0.4073,0.403985,0.410691,242.0,255.0,2026-05-29T13:59:40.746635+00:00
1510,25,P01,yes,1,0.4208,0.41743,0.4242,244.0,255.0,2026-05-29T13:59:41.092901+00:00
1512,25,P01,yes,1,0.4344,0.430999,0.437823,246.0,255.0,2026-05-29T13:59:41.405419+00:00
1517,25,P01,yes,1,0.2156,0.213232,0.217929,249.0,295.0,2026-05-29T13:59:41.969467+00:00
1522,25,P01,yes,1,0.1498,0.148047,0.151585,233.0,295.0,2026-05-29T13:59:42.651505+00:00
1526,25,P03,yes,8,1.3958,0.158869,0.190858,243.0,295.0,2026-05-29T13:59:43.214475+00:00
1528,25,P04,yes,1,0.23,0.227546,0.232465,252.0,295.0,2026-05-29T13:59:44.089581+00:00
1547,25,P05,yes,1,0.2063,0.20406,0.208609,227.0,275.0,2026-05-29T13:59:59.073149+00:00
1550,25,P05,yes,1,0.2203,0.217929,0.2227,230.0,275.0,2026-05-29T14:00:00.034562+00:00
1571,25,P05,yes,20,7.9589,0.333045,0.465333,291.0,296.0,2026-05-29T14:00:08.701938+00:00
1592,25,P09,no,20,12.0411,0.465333,0.333045,312.0,337.0,2026-05-29T14:00:13.007998+00:00
1641,25,P04,no,1,0.6126,0.390682,0.38409,332.0,349.0,2026-05-29T14:00:23.499867+00:00
1643,25,P06,no,1,0.6192,0.38409,0.377541,332.0,350.0,2026-05-29T14:00:25.473949+00:00
1280,25,P04,no,1,0.4896,0.513885,0.506944,2.0,1.0,2026-05-29T13:59:10.513827+00:00
1285,25,P05,yes,1,0.5104,0.506944,0.513885,5.0,3.0,2026-05-29T13:59:10.940942+00:00
1287,25,P05,yes,1,0.5243,0.520821,0.527749,7.0,3.0,2026-05-29T13:59:11.262212+00:00
1305,25,P08,yes,1,0.4965,0.493056,0.5,23.0,23.0,2026-05-29T13:59:12.951276+00:00
