id,round_id,participant_id,signal_value,theta,posterior,delivered,delivered_at,rng_seed,market_id
69,11,P09,H,0.85,0.85,1,2026-06-01 12:21:02,12004b8724b0d9c6,3
70,17,P02,L,0.85,0.15000000000000002,1,2026-06-01 12:21:09,d94777910df575a5,5
71,17,P05,L,0.85,0.15000000000000002,1,2026-06-01 12:21:09,eaf5c9006d11342b,5
72,17,P08,L,0.85,0.15000000000000002,1,2026-06-01 12:21:09,4f45032e6311ea1b,5
73,18,P02,L,0.85,0.15000000000000002,1,2026-06-01 12:21:11,ce9ee1a937089ab4,5
74,18,P05,L,0.85,0.15000000000000002,1,2026-06-01 12:21:11,1fa371b2f1e0f01b,5
75,18,P08,L,0.85,0.15000000000000002,1,2026-06-01 12:21:11,04c51ff55817a8a1,5
76,19,P02,L,0.85,0.15000000000000002,1,2026-06-01 12:21:12,82fe42336ee7d63c,5
77,19,P05,L,0.85,0.15000000000000002,1,2026-06-01 12:21:12,edb4147fb649d2f2,5
78,19,P08,L,0.85,0.15000000000000002,1,2026-06-01 12:21:12,ffe11a4f1512a3ee,5
79,20,P02,L,0.85,0.15000000000000002,1,2026-06-01 12:21:13,ff15ac4844ab5e17,5
80,20,P05,L,0.85,0.15000000000000002,1,2026-06-01 12:21:13,5073c8eff5414a88,5
81,20,P08,L,0.85,0.15000000000000002,1,2026-06-01 12:21:13,e7528303ea43e485,5
82,21,P02,L,0.85,0.15000000000000002,1,2026-06-01 12:21:15,eba127c307c68c73,5
83,21,P05,L,0.85,0.15000000000000002,1,2026-06-01 12:21:15,c7865b2479df4c3d,5
84,21,P08,L,0.85,0.15000000000000002,1,2026-06-01 12:21:15,28b68ffaceb1672f,5
