id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at,market_id
1,1,P08,no,14,7.676309822834352,0.5,0.4039848066734832,0,14,2026-06-01 12:20:48.405832,1
2,1,P03,yes,2,0.8213923658263269,0.4039848066734832,0.41742979353768533,2,14,2026-06-01 12:20:48.424134,1
3,1,P04,yes,1,0.42081238797619847,0.41742979353768533,0.4241999463841996,3,14,2026-06-01 12:20:48.477337,1
4,1,P05,yes,1,0.4275970279988499,0.4241999463841996,0.4309986674318095,4,14,2026-06-01 12:20:48.653320,1
5,1,P04,yes,1,0.43440901084461103,0.4309986674318095,0.4378234991142019,5,14,2026-06-01 12:20:49.045677,1
9,2,P09,no,1,0.503472110595304,0.5,0.49305600205173933,0,1,2026-06-01 12:20:49.134554,2
6,1,P05,yes,1,0.4412458590929802,0.4378234991142019,0.444671944737631,6,14,2026-06-01 12:20:49.393652,1
7,1,P01,yes,1,0.4481050579590047,0.444671944737631,0.4515414720267231,7,14,2026-06-01 12:20:49.475995,1
8,1,P02,yes,3,1.3856554685614952,0.4515414720267231,0.47225076494548685,10,14,2026-06-01 12:20:49.686944,1
10,2,P08,no,11,5.994230078065371,0.49305600205173933,0.41742979353768533,0,12,2026-06-01 12:20:50.870536,2
11,2,P04,yes,1,0.420812387976202,0.41742979353768533,0.4241999463841996,1,12,2026-06-01 12:20:51.295062,2
12,2,P03,yes,4,1.7513569558954458,0.4241999463841996,0.4515414720267231,5,12,2026-06-01 12:20:51.306514,2
13,2,P05,yes,1,0.4549840588965921,0.4515414720267231,0.45842951678320015,6,12,2026-06-01 12:20:51.373386,2
14,2,P01,yes,4,1.8890315117048644,0.45842951678320015,0.4861146822539951,10,12,2026-06-01 12:20:51.382287,2
15,7,P05,yes,20,11.371386779695708,0.5,0.6354235592583607,20,0,2026-06-01 12:20:56.076853,3
16,7,P05,yes,1,0.6386329165170253,0.6354235592583607,0.6418340450887311,21,0,2026-06-01 12:20:56.076854,3
17,7,P02,no,17,7.0455073048810775,0.6418340450887311,0.5277492350545132,21,17,2026-06-01 12:20:56.078651,3
18,7,P05,yes,20,11.908497625422754,0.5277492350545132,0.6607563687658172,41,17,2026-06-01 12:20:56.091793,3
19,7,P05,yes,10,6.908996302503596,0.6607563687658172,0.7199965396446176,51,17,2026-06-01 12:20:56.091794,3
20,7,P06,no,1,0.28281485045204846,0.7199965396446176,0.7143624294910559,51,18,2026-06-01 12:20:56.092568,3
21,7,P03,no,14,4.583352935121837,0.7143624294910559,0.6289646649499733,51,32,2026-06-01 12:20:56.114569,3
22,7,P01,no,2,0.7550961402592691,0.6289646649499733,0.6159095915435134,51,34,2026-06-01 12:20:56.196895,3
23,7,P07,yes,9,5.80363046657358,0.6159095915435134,0.6730961777222321,60,34,2026-06-01 12:20:56.259622,3
24,7,P03,no,5,1.7121043747858522,0.6730961777222321,0.6418340450887311,60,39,2026-06-01 12:20:56.317679,3
25,7,P05,yes,19,13.281273155135011,0.6418340450887311,0.7523361988609284,79,39,2026-06-01 12:20:56.326740,3
26,7,P02,no,2,0.5057754813052071,0.7523361988609284,0.7418402904888368,79,41,2026-06-01 12:20:56.375361,3
27,7,P03,no,8,2.2414865408203326,0.7418402904888368,0.6970592839654074,79,49,2026-06-01 12:20:56.507621,3
28,7,P05,yes,5,3.557251171909016,0.6970592839654074,0.7255622121589215,84,49,2026-06-01 12:20:56.539727,3
29,7,P09,no,1,0.2772148836378392,0.7255622121589215,0.7199965396446176,84,50,2026-06-01 12:20:56.590850,3
30,7,P08,no,2,0.5712976399588143,0.7199965396446176,0.7086608250294356,84,52,2026-06-01 12:20:56.672465,3
31,7,P08,no,6,1.8535967524479418,0.7086608250294356,0.6730961777222321,84,58,2026-06-01 12:20:56.762722,3
32,7,P05,yes,3,2.0465238037784133,0.6730961777222321,0.6911616123625146,87,58,2026-06-01 12:20:56.894086,3
33,7,P02,no,5,1.619585501311235,0.6911616123625146,0.6607563687658172,87,63,2026-06-01 12:20:56.932741,3
34,7,P03,no,13,4.954489950120319,0.6607563687658172,0.5758000536158003,87,76,2026-06-01 12:20:57.004573,3
35,7,P05,yes,20,12.820021712136594,0.5758000536158003,0.702892745013669,107,76,2026-06-01 12:20:57.008930,3
36,7,P05,yes,6,4.3193635463320845,0.702892745013669,0.736484844941675,113,76,2026-06-01 12:20:57.008931,3
37,7,P08,no,1,0.2662224153924484,0.736484844941675,0.7310585786300049,113,77,2026-06-01 12:20:57.029634,3
38,7,P01,no,11,3.3037627052276264,0.7310585786300049,0.6669548851735586,113,88,2026-06-01 12:20:57.052894,3
39,7,P03,no,4,1.3821347404870892,0.6669548851735586,0.6418340450887311,113,92,2026-06-01 12:20:57.069289,3
40,7,P08,yes,10,6.728516592560737,0.6418340450887311,0.702892745013669,123,92,2026-06-01 12:20:57.262821,3
41,7,P03,no,1,0.300018584699842,0.702892745013669,0.6970592839654074,123,93,2026-06-01 12:20:57.274718,3
42,7,P02,no,1,0.3058842517320386,0.6970592839654074,0.6911616123625146,123,94,2026-06-01 12:20:57.278292,3
43,7,P02,no,7,2.3105989735574894,0.6911616123625146,0.6481942198637447,123,101,2026-06-01 12:20:57.327869,3
44,7,P05,yes,12,8.217982830257313,0.6481942198637447,0.7199965396446176,135,101,2026-06-01 12:20:57.331469,3
45,7,P05,yes,15,11.390003505865423,0.7199965396446176,0.7959402230407707,150,101,2026-06-01 12:20:57.518331,3
46,7,P03,no,1,0.20632796774816597,0.7959402230407707,0.791391472673955,150,102,2026-06-01 12:20:57.553170,3
47,7,P09,no,9,2.072204189732304,0.791391472673955,0.7471242672706695,150,111,2026-06-01 12:20:57.570577,3
48,7,P04,no,1,0.25551174028694845,0.7471242672706695,0.7418402904888368,150,112,2026-06-01 12:20:57.581650,3
49,7,P03,no,1,0.26083150245258935,0.7418402904888368,0.736484844941675,150,113,2026-06-01 12:20:57.713890,3
50,7,P02,no,5,1.3864187338733984,0.736484844941675,0.7086608250294356,150,118,2026-06-01 12:20:57.741612,3
51,7,P09,no,11,3.5657011272337797,0.7086608250294356,0.6418340450887311,150,129,2026-06-01 12:20:58.103512,3
52,7,P04,no,1,0.3613670834829463,0.6418340450887311,0.6354235592583607,150,130,2026-06-01 12:20:58.160032,3
351,8,P07,no,7,1.980655038367729,0.736484844941675,0.6970592839654074,429,399,2026-06-01 12:20:58.249859,3
53,7,P07,yes,1,0.6386329165170537,0.6354235592583607,0.6418340450887311,151,130,2026-06-01 12:20:58.256956,3
54,7,P05,yes,1,0.6450184025500789,0.6418340450887311,0.6481942198637447,152,130,2026-06-01 12:20:58.266078,3
352,8,P07,yes,7,5.019344961632271,0.6970592839654074,0.736484844941675,436,399,2026-06-01 12:20:58.270775,3
55,7,P04,no,1,0.3549815974499211,0.6481942198637447,0.6418340450887311,152,131,2026-06-01 12:20:58.388087,3
56,7,P04,no,9,3.4876824924479024,0.6418340450887311,0.5825702064623147,152,140,2026-06-01 12:20:58.629915,3
57,7,P06,yes,1,0.5859424726521922,0.5825702064623147,0.5893093760914265,153,140,2026-06-01 12:20:58.790312,3
58,7,P02,yes,1,0.5926651615214951,0.5893093760914265,0.5960151933265168,154,140,2026-06-01 12:20:58.796907,3
59,7,P03,yes,10,6.287714803682235,0.5960151933265168,0.6607563687658172,164,140,2026-06-01 12:20:59.057996,3
509,9,P07,yes,1,-0.8604966688735658,0.8621583430350643,0.8588238645581401,442,377,2026-06-01 12:20:59.132660,3
60,7,P07,yes,1,0.6638603292090579,0.6607563687658172,0.6669548851735586,165,140,2026-06-01 12:20:59.197404,3
61,7,P07,yes,11,7.696237294772374,0.6669548851735586,0.7310585786300049,176,140,2026-06-01 12:20:59.482963,3
62,7,P03,yes,2,-1.4511013214778643,0.7310585786300049,0.7199965396446176,174,140,2026-06-01 12:20:59.738469,3
353,8,P07,no,1,-0.26083150245261777,0.736484844941675,0.7418402904888368,436,398,2026-06-01 12:20:59.773247,3
354,8,P09,yes,1,0.74448825971308,0.7418402904888368,0.7471242672706695,437,398,2026-06-01 12:20:59.784505,3
63,7,P05,yes,6,4.4182719223276194,0.7199965396446176,0.7523361988609284,180,140,2026-06-01 12:20:59.792982,3
64,7,P01,no,2,0.5057754813051929,0.7523361988609284,0.7418402904888368,180,142,2026-06-01 12:20:59.793509,3
65,7,P01,no,17,5.2129513635597675,0.7418402904888368,0.6418340450887311,180,159,2026-06-01 12:20:59.827459,3
510,9,P05,yes,4,-3.4076285411421168,0.8588238645581401,0.844807753762903,438,377,2026-06-01 12:20:59.848945,3
66,7,P07,yes,12,8.14581608325949,0.6418340450887311,0.7143624294910559,192,159,2026-06-01 12:20:59.977553,3
67,7,P05,yes,6,4.3857208128938225,0.7143624294910559,0.7471242672706695,198,159,2026-06-01 12:20:59.997483,3
355,8,P07,yes,4,3.029707703463032,0.7471242672706695,0.7675350070438758,441,398,2026-06-01 12:21:00.121750,3
356,8,P07,no,1,-0.2299991558866168,0.7675350070438758,0.7724543828071839,441,397,2026-06-01 12:21:00.183139,3
68,7,P04,no,1,0.25551174028692003,0.7471242672706695,0.7418402904888368,198,160,2026-06-01 12:21:00.207676,3
69,7,P04,no,1,0.26083150245261777,0.7418402904888368,0.736484844941675,198,161,2026-06-01 12:21:00.215426,3
511,9,P05,no,2,0.3177616584048337,0.844807753762903,0.8373836916384682,438,379,2026-06-01 12:21:00.219908,3
512,9,P09,yes,14,-11.31957749253985,0.8373836916384682,0.7772998611746911,424,379,2026-06-01 12:21:00.239611,3
513,9,P09,no,13,3.3281701407034916,0.7772998611746911,0.7086608250294356,424,392,2026-06-01 12:21:00.306072,3
514,9,P05,no,3,0.9001205562263976,0.7086608250294356,0.6911616123625146,424,395,2026-06-01 12:21:00.416925,3
515,9,P08,no,10,-2.8028825328393054,0.6911616123625146,0.7471242672706695,424,385,2026-06-01 12:21:00.422554,3
70,7,P04,no,1,0.26622241539240576,0.736484844941675,0.7310585786300049,198,162,2026-06-01 12:21:00.504768,3
71,7,P01,no,1,0.2716837948843249,0.7310585786300049,0.7255622121589215,198,163,2026-06-01 12:21:00.547659,3
72,7,P09,no,1,-0.2716837948843249,0.7255622121589215,0.7310585786300049,198,162,2026-06-01 12:21:00.602704,3
901,10,P05,no,1,-0.3549815974499779,0.6418340450887311,0.6481942198637447,612,590,2026-06-01 12:21:00.719182,3
902,10,P04,no,1,0.3549815974499779,0.6481942198637447,0.6418340450887311,612,591,2026-06-01 12:21:00.735169,3
516,9,P03,yes,2,1.5046482132236747,0.7471242672706695,0.7574755792628283,426,385,2026-06-01 12:21:00.736500,3
903,10,P09,no,1,0.3613670834829463,0.6418340450887311,0.6354235592583607,612,592,2026-06-01 12:21:00.778528,3
73,7,P02,yes,1,-0.7283162051156467,0.7310585786300049,0.7255622121589215,197,162,2026-06-01 12:21:00.793142,3
74,7,P01,no,2,0.5600297340898805,0.7255622121589215,0.7143624294910559,197,164,2026-06-01 12:21:00.836201,3
904,10,P02,yes,1,-0.6321980651016474,0.6354235592583607,0.6289646649499733,611,592,2026-06-01 12:21:00.853733,3
905,10,P07,yes,1,0.6321980651016474,0.6289646649499733,0.6354235592583607,612,592,2026-06-01 12:21:00.889718,3
517,9,P03,no,14,-2.9289915116871157,0.7574755792628283,0.8216809438923075,426,371,2026-06-01 12:21:00.963791,3
75,7,P09,no,1,0.28848278950675876,0.7143624294910559,0.7086608250294356,197,165,2026-06-01 12:21:00.968012,3
76,7,P05,yes,5,3.613581266126573,0.7086608250294356,0.736484844941675,202,165,2026-06-01 12:21:01.024753,3
357,8,P07,yes,1,0.774883288333001,0.7724543828071839,0.7772998611746911,442,397,2026-06-01 12:21:01.039601,3
906,10,P05,no,1,-0.3613670834829463,0.6354235592583607,0.6418340450887311,612,591,2026-06-01 12:21:01.082446,3
358,8,P07,no,4,-0.8531239933898291,0.7772998611746911,0.7959402230407707,442,393,2026-06-01 12:21:01.098592,3
359,8,P07,no,1,-0.20181631079429962,0.7959402230407707,0.8004148013462675,442,392,2026-06-01 12:21:01.116098,3
