trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
21,3,9,yes,16,0.21863508368712126,0.21863508368712126
22,3,9,no,3,-0.04031620927537005,0.04031620927537005
23,3,9,yes,10,0.12805795139721687,0.12805795139721687
24,3,9,yes,7,0.07539509884177653,0.07539509884177653
25,3,9,no,5,-0.0524578431625663,0.0524578431625663
26,3,9,no,1,-0.011335714615182013,0.011335714615182013
27,3,10,no,20,-0.2639888802918046,0.2639888802918046
28,3,10,no,5,-0.06713127593948554,0.06713127593948554
29,3,10,yes,14,0.19146066377004506,0.19146066377004506
30,3,10,no,7,-0.09675056762270368,0.09675056762270368
31,3,10,yes,20,0.25880781368451805,0.25880781368451805
32,3,10,no,2,-0.02239775360056928,0.02239775360056928
33,3,10,yes,4,0.04367537383149278,0.04367537383149278
34,3,10,yes,1,0.010205772795169099,0.010205772795169099
35,3,11,no,20,-0.24865665391009262,0.24865665391009262
36,3,11,no,4,-0.055455800962804724,0.055455800962804724
37,3,11,yes,6,0.08314096643359975,0.08314096643359975
38,3,11,no,5,-0.06931971827131306,0.06931971827131306
39,3,11,yes,18,0.23641006008394877,0.23641006008394877
40,3,11,yes,3,0.0331794654594012,0.0331794654594012
41,3,11,yes,4,0.040230977126648026,0.040230977126648026
42,5,17,no,20,-0.2523361988609284,0.2523361988609284
43,5,17,no,20,-0.14989120128827227,0.14989120128827227
44,5,17,no,20,-0.06332740418458815,0.06332740418458815
45,5,17,no,20,-0.022837879220906545,0.022837879220906545
46,5,17,no,20,-0.007756284089374375,0.007756284089374375
47,5,17,no,20,-0.002580016092848897,0.002580016092848897
48,5,17,no,18,-0.0008030595374484226,0.0008030595374484226
49,5,17,yes,20,0.0009522160557538038,0.0009522160557538038
50,5,17,yes,20,0.002881482511706162,0.002881482511706162
51,5,17,yes,20,0.008652072237602969,0.008652072237602969
52,5,17,yes,20,0.02538424459466376,0.02538424459466376
53,5,17,yes,20,0.06968358921805956,0.06968358921805956
54,5,17,yes,20,0.16091986002657593,0.16091986002657593
55,5,17,yes,20,0.2588078136845181,0.2588078136845181
56,5,17,yes,4,0.05482097140780151,0.05482097140780151
57,5,17,no,11,-0.15157153903050524,0.15157153903050524
58,5,17,no,20,-0.23141346877807692,0.23141346877807692
