id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-06-01 10:04:18.015069,2026-06-01 10:04:18.021181,0.5,0.5,0.35000000000000003
2,2,1,2026-06-01 10:04:18.024047,2026-06-01 10:04:18.025849,0.5,0.5,0.9566941509920125
3,2,2,2026-06-01 10:04:18.026429,2026-06-01 10:04:18.028427,0.5,0.5,0.9566941509920125
4,2,3,2026-06-01 10:04:18.029203,2026-06-01 10:04:18.031177,0.5,0.5,0.9870455196827034
5,2,4,2026-06-01 10:04:18.031873,2026-06-01 10:04:18.033785,0.5,0.5,0.8649606299212601
6,2,5,2026-06-01 10:04:18.034402,2026-06-01 10:04:18.036210,0.5,0.5,0.65
7,3,1,2026-06-01 10:04:18.039605,2026-06-01 10:04:18.047497,0.5,0.37754066879814546,0.9945344129554656
8,3,2,2026-06-01 10:04:18.047980,2026-06-01 10:04:18.059777,0.37754066879814546,0.6354235592583607,0.9945344129554656
9,3,3,2026-06-01 10:04:18.060324,2026-06-01 10:04:18.069476,0.6354235592583607,0.7086608250294356,0.85
10,3,4,2026-06-01 10:04:18.069935,2026-06-01 10:04:18.077901,0.7086608250294356,0.7625419716560975,0.9945344129554656
11,3,5,2026-06-01 10:04:18.078441,2026-06-01 10:04:18.085513,0.7625419716560975,0.7820712676154848,0.9945344129554656
12,4,1,2026-06-01 10:04:18.088062,2026-06-01 10:04:18.089363,0.5,0.5,0.5
13,4,2,2026-06-01 10:04:18.089930,2026-06-01 10:04:18.091193,0.5,0.5,0.5
14,4,3,2026-06-01 10:04:18.091722,2026-06-01 10:04:18.092865,0.5,0.5,0.5
15,4,4,2026-06-01 10:04:18.093373,2026-06-01 10:04:18.094628,0.5,0.5,0.5
16,4,5,2026-06-01 10:04:18.095135,2026-06-01 10:04:18.096247,0.5,0.5,0.5
17,5,1,2026-06-01 10:04:18.098675,2026-06-01 10:04:18.127657,0.5,0.8748396004250029,0.005465587044534417
18,5,2,2026-06-01 10:04:18.128192,2026-06-01 10:04:18.150914,0.8748396004250029,0.3518057801362553,0.005465587044534417
19,5,3,2026-06-01 10:04:18.151386,2026-06-01 10:04:18.172856,0.3518057801362553,0.13137120953080678,0.005465587044534417
20,5,4,2026-06-01 10:04:18.173344,2026-06-01 10:04:18.190069,0.13137120953080678,0.10278402491725176,0.005465587044534417
21,5,5,2026-06-01 10:04:18.190623,2026-06-01 10:04:18.201451,0.10278402491725176,0.15886910488091516,0.005465587044534417
