id,session_id,market_number,is_practice,scenario_id,true_probability,stage,b_parameter,q_yes,q_no,opened_at,closed_at
1,1,0,1,C,0.5,1,36,10,14,2026-06-01 12:20:47.683606,2026-06-01 12:20:49.016840
2,1,1,0,C,0.5,1,36,10,12,2026-06-01 12:20:49.017455,2026-06-01 12:20:55.384459
3,1,2,0,A,0.75,2,36,631,568,2026-06-01 12:20:55.385857,2026-06-01 12:21:03.563746
4,1,3,0,B,0.25,3,36,18,19,2026-06-01 12:21:03.564592,2026-06-01 12:21:09.774638
5,1,4,0,D,0.65,4,36,650,767,2026-06-01 12:21:09.775714,2026-06-01 12:21:16.462601
