id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-06-01 14:23:32.585262,2026-06-01 14:23:36.636896,0.5,0.4791787146272571,0.002044833295539375
2,2,1,2026-06-01 14:23:36.640346,2026-06-01 14:23:40.637431,0.5,0.4791787146272571,0.9929825533485988
3,2,2,2026-06-01 14:23:40.638791,2026-06-01 14:23:44.606771,0.4791787146272571,0.4791787146272571,0.9224533298882504
4,2,3,2026-06-01 14:23:44.607556,2026-06-01 14:23:48.604559,0.4791787146272571,0.4791787146272571,0.9994062572540016
5,2,4,2026-06-01 14:23:48.605361,2026-06-01 14:23:52.608732,0.4791787146272571,0.4791787146272571,0.9994062572540016
6,2,5,2026-06-01 14:23:52.610104,2026-06-01 14:23:56.556305,0.4791787146272571,0.4791787146272571,0.9979551667044606
7,3,1,2026-06-01 14:23:56.561754,2026-06-01 14:24:01.749768,0.5,0.7574755792628283,0.9999697990305696
8,3,2,2026-06-01 14:24:01.750601,2026-06-01 14:24:06.937785,0.7574755792628283,0.6852009766653157,0.9697986577181208
9,3,3,2026-06-01 14:24:06.938618,2026-06-01 14:24:12.189913,0.6852009766653157,0.5960151933265168,0.9697986577181208
10,3,4,2026-06-01 14:24:12.190818,2026-06-01 14:24:16.887252,0.5960151933265168,0.9429752985789069,0.9999990594578603
11,3,5,2026-06-01 14:24:16.887937,2026-06-01 14:24:21.813883,0.9429752985789069,0.6970592839654074,0.9999697990305696
12,4,1,2026-06-01 14:24:21.817396,2026-06-01 14:24:25.806420,0.5,0.4861146822539951,0.5
13,4,2,2026-06-01 14:24:25.807366,2026-06-01 14:24:29.688172,0.4861146822539951,0.4861146822539951,0.5
14,4,3,2026-06-01 14:24:29.688941,2026-06-01 14:24:33.608553,0.4861146822539951,0.4861146822539951,0.5
15,4,4,2026-06-01 14:24:33.609375,2026-06-01 14:24:37.544652,0.4861146822539951,0.4861146822539951,0.5
16,4,5,2026-06-01 14:24:37.545528,2026-06-01 14:24:41.543351,0.4861146822539951,0.4861146822539951,0.5
17,5,1,2026-06-01 14:24:41.547688,2026-06-01 14:24:46.519147,0.5,0.037326887344129464,0.0009688763426712289
18,5,2,2026-06-01 14:24:46.526871,2026-06-01 14:24:50.439915,0.037326887344129464,0.04043956481800324,3.0200969430404782e-05
19,5,3,2026-06-01 14:24:50.440601,2026-06-01 14:24:56.170771,0.04043956481800324,0.679178699175393,0.03020134228187921
20,5,4,2026-06-01 14:24:56.171427,2026-06-01 14:25:01.198032,0.679178699175393,0.1107273179723682,3.0200969430404782e-05
21,5,5,2026-06-01 14:25:01.198597,2026-06-01 14:25:05.421972,0.1107273179723682,0.06496916912866407,0.0009688763426712289
