trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
1,1,1,no,2,-0.013885317746004877,0.013885317746004877
2,1,1,no,13,-0.08880002023248684,0.08880002023248684
3,1,1,yes,16,0.10962933592675245,0.10962933592675245
4,1,1,no,20,-0.13590866289823395,0.13590866289823395
5,1,1,no,1,-0.0064588943083875305,0.0064588943083875305
6,1,1,yes,6,0.039408365931843936,0.039408365931843936
7,1,1,yes,1,0.006705817235090283,0.006705817235090283
8,1,1,yes,13,0.08930937609142653,0.08930937609142653
9,1,1,no,11,-0.07580005361580039,0.07580005361580039
10,1,1,yes,15,0.1035492886703136,0.1035492886703136
11,1,1,no,2,-0.013863917308508333,0.013863917308508333
12,1,1,no,1,-0.00694131979774415,0.00694131979774415
13,1,1,no,1,-0.006943997948260727,0.006943997948260727
14,2,2,no,2,-0.013885317746004877,0.013885317746004877
15,2,2,no,11,-0.07542405834542165,0.07542405834542165
16,2,2,yes,14,0.09625337403968726,0.09625337403968726
17,2,2,no,1,-0.006943997948260727,0.006943997948260727
18,2,2,no,6,-0.04157048321679985,0.04157048321679985
19,2,2,yes,1,0.006903969863395976,0.006903969863395976
20,2,2,yes,13,0.08999456861577282,0.08999456861577282
21,2,2,no,1,-0.006869527289091959,0.006869527289091959
22,2,2,no,7,-0.04845852797327699,0.04845852797327699
23,2,2,no,1,-0.006943997948260672,0.006943997948260672
24,3,7,yes,1,0.006943997948260727,0.006943997948260727
25,3,7,yes,1,0.00694131979774415,0.00694131979774415
26,3,7,yes,18,0.12153824151235582,0.12153824151235582
27,3,7,no,1,-0.0064588943083874195,0.0064588943083874195
28,3,7,no,1,-0.00650533374811868,0.00650533374811868
29,3,7,no,13,-0.08779281784845061,0.08779281784845061
30,3,7,yes,12,0.08124307819010945,0.08124307819010945
31,3,7,yes,15,0.09275123348592218,0.09275123348592218
32,3,7,no,1,-0.0057680800157665635,0.0057680800157665635
33,3,7,no,1,-0.005833461048261657,0.005833461048261657
34,3,7,no,2,-0.011858307300091742,0.011858307300091742
35,3,7,no,3,-0.018246091491757044,0.018246091491757044
36,3,7,yes,1,0.00614129254867346,0.00614129254867346
37,3,7,no,20,-0.13152569450543217,0.13152569450543217
38,3,7,no,4,-0.027685165470795026,0.027685165470795026
39,3,7,yes,18,0.12153824151235582,0.12153824151235582
40,3,7,yes,20,0.1169126396025677,0.1169126396025677
41,3,7,no,3,-0.015851353919253408,0.015851353919253408
42,3,7,no,1,-0.0054262663116700915,0.0054262663116700915
43,3,7,no,13,-0.07655632937812618,0.07655632937812618
44,3,7,no,1,-0.006308029388134018,0.006308029388134018
45,3,7,no,7,-0.04550888188525304,0.04550888188525304
46,3,7,no,8,-0.054226810005214676,0.054226810005214676
47,3,7,yes,13,0.0869650312850837,0.0869650312850837
48,3,7,yes,2,0.01277066060538401,0.01277066060538401
49,3,7,no,7,-0.04550888188525304,0.04550888188525304
50,3,7,no,1,-0.0066701446519749075,0.0066701446519749075
51,3,7,yes,4,0.026444137875337836,0.026444137875337836
52,3,7,no,1,-0.006549739658341158,0.006549739658341158
53,3,7,yes,13,0.08114969242189396,0.08114969242189396
54,3,7,no,14,-0.08774174212184682,0.08774174212184682
55,3,7,no,4,-0.02674733538124585,0.02674733538124585
56,3,7,no,1,-0.006770152846514388,0.006770152846514388
57,3,7,yes,10,0.06603399147293076,0.06603399147293076
58,3,7,no,1,-0.006410485830370405,0.006410485830370405
59,3,7,no,8,-0.05285335279604597,0.05285335279604597
60,3,7,yes,7,0.04639445848765855,0.04639445848765855
61,3,7,yes,1,0.0064588943083874195,0.0064588943083874195
62,3,7,no,13,-0.0869650312850837,0.0869650312850837
63,3,7,yes,16,0.10604372127860173,0.10604372127860173
64,3,7,yes,8,0.04839049576179033,0.04839049576179033
65,3,7,no,8,-0.04839049576179033,0.04839049576179033
66,3,7,no,4,-0.025537584301905447,0.025537584301905447
67,3,7,no,4,-0.02627932697148161,0.02627932697148161
68,3,7,yes,9,0.05807103078732556,0.05807103078732556
69,3,7,no,1,-0.006254119513938505,0.006254119513938505
