round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4979551667044606,51.0
2,2,1,1,C,1,0.4999265512968594,28.503472110595307
3,2,1,1,C,2,0.429397327836511,0.0
4,2,1,1,C,3,0.5063502552022623,0.0
5,2,1,1,C,4,0.5063502552022623,0.0
6,2,1,1,C,5,0.5048991646527212,0.0
7,3,2,2,A,1,0.16258610739210144,1123.4357259208152
8,3,2,2,A,2,0.3604811158745602,369.4459419304376
9,3,2,2,A,3,0.3152964084662421,263.4247229021155
10,3,2,2,A,4,0.04265031158880317,-47.69053795474588
11,3,2,2,A,5,0.377510467828715,199.49762013170334
12,4,3,3,B,1,0.0,28.999999999999996
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.03840644791773704,1427.492875580512
18,5,4,4,D,2,0.03350299395376471,214.7817256704834
19,5,4,4,D,3,0.6116327028068519,1584.735418445217
20,5,4,4,D,4,0.07582797905181315,973.876712238161
21,5,4,4,D,5,0.05911777383133639,11.390802769583388
