id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-06-01 14:17:11.028805,2026-06-01 14:17:14.765337,0.5,0.5,0.002044833295539375
2,2,1,2026-06-01 14:17:14.769734,2026-06-01 14:17:18.463582,0.5,0.49305600205173933,0.9929825533485988
3,2,2,2026-06-01 14:17:18.464887,2026-06-01 14:17:22.112885,0.49305600205173933,0.49305600205173933,0.9224533298882504
4,2,3,2026-06-01 14:17:22.114147,2026-06-01 14:17:25.761173,0.49305600205173933,0.49305600205173933,0.9994062572540016
5,2,4,2026-06-01 14:17:25.762756,2026-06-01 14:17:29.430285,0.49305600205173933,0.49305600205173933,0.9994062572540016
6,2,5,2026-06-01 14:17:29.431897,2026-06-01 14:17:32.997137,0.49305600205173933,0.49305600205173933,0.9979551667044606
7,3,1,2026-06-01 14:17:33.002508,2026-06-01 14:17:37.560173,0.5,0.8373836916384682,0.9999697990305696
8,3,2,2026-06-01 14:17:37.561073,2026-06-01 14:17:42.224306,0.8373836916384682,0.6093175418435606,0.9697986577181208
9,3,3,2026-06-01 14:17:42.225085,2026-06-01 14:17:47.054771,0.6093175418435606,0.6545022492518787,0.9697986577181208
10,3,4,2026-06-01 14:17:47.055658,2026-06-01 14:17:51.200517,0.6545022492518787,0.9573487478690571,0.9999990594578603
11,3,5,2026-06-01 14:17:51.201371,2026-06-01 14:17:55.699910,0.9573487478690571,0.6224593312018546,0.9999697990305696
12,4,1,2026-06-01 14:17:55.703205,2026-06-01 14:17:59.330825,0.5,0.5,0.5
13,4,2,2026-06-01 14:17:59.332175,2026-06-01 14:18:02.806569,0.5,0.5,0.5
14,4,3,2026-06-01 14:18:02.807851,2026-06-01 14:18:06.276485,0.5,0.5,0.5
15,4,4,2026-06-01 14:18:06.277725,2026-06-01 14:18:09.784376,0.5,0.5,0.5
16,4,5,2026-06-01 14:18:09.785635,2026-06-01 14:18:13.371289,0.5,0.5,0.5
17,5,1,2026-06-01 14:18:13.375786,2026-06-01 14:18:18.038615,0.5,0.039375324260408275,0.0009688763426712289
18,5,2,2026-06-01 14:18:18.039558,2026-06-01 14:18:21.830221,0.039375324260408275,0.03353319492319511,3.0200969430404782e-05
19,5,3,2026-06-01 14:18:21.830885,2026-06-01 14:18:27.506527,0.03353319492319511,0.6418340450887311,0.03020134228187921
20,5,4,2026-06-01 14:18:27.507318,2026-06-01 14:18:32.867238,0.6418340450887311,0.07585818002124356,3.0200969430404782e-05
21,5,5,2026-06-01 14:18:32.867894,2026-06-01 14:18:37.038567,0.07585818002124356,0.06008665017400762,0.0009688763426712289
