session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P14,1198.9039,1,5,2026-06-01 14:18:37,
1,P24,1038.4664,2,3,2026-06-01 14:18:37,
1,P20,799.3955,3,2,2026-06-01 14:18:37,
1,P18,786.0168,4,0,2026-06-01 14:18:37,
1,P13,785.8593,5,0,2026-06-01 14:18:37,
1,P17,752.3838,6,0,2026-06-01 14:18:37,
1,P02,719.4667,7,0,2026-06-01 14:18:37,
1,P03,699.4746,8,0,2026-06-01 14:18:37,
1,P16,696.0924,9,0,2026-06-01 14:18:37,
1,P09,681.9537,10,0,2026-06-01 14:18:37,
1,P15,656.4632,11,0,2026-06-01 14:18:37,
1,P19,651.4891,12,0,2026-06-01 14:18:37,
1,P11,578.2909,13,0,2026-06-01 14:18:37,
1,P22,541.9046,14,0,2026-06-01 14:18:37,
1,P23,473.9731,15,0,2026-06-01 14:18:37,
1,P01,452.3835,16,0,2026-06-01 14:18:37,
1,P12,444.9355,17,0,2026-06-01 14:18:37,
1,P06,412.4642,18,0,2026-06-01 14:18:37,
1,P07,405.6105,19,0,2026-06-01 14:18:37,
1,P21,357.3414,20,0,2026-06-01 14:18:37,
1,P10,345.5102,21,0,2026-06-01 14:18:37,
1,P08,331.2054,22,0,2026-06-01 14:18:37,
1,P04,303.3094,23,0,2026-06-01 14:18:37,
1,P05,200.2126,24,0,2026-06-01 14:18:37,
